768	̀	low tone	\`			L
769	́	high tone	\'			L
770	̂	falling tone	\^			L
771	̃	nasalized	\~			L
772	̄	mid tone	\=			L
773	̅				M	
774	̆	extra-short	\u			L
775	̇		\.			L
776	̈	centralized	"\"""			L
777	̉				M	
778	̊	vl voiceless (use if character has descender)	\r			L
779	̋	extra high tone	\H			L
780	̌	rising tone	\v			L
781	̍				M	
782	̎				M	
783	̏	extra low tone	\H*			L
784	̐			\textdotbreve		L
785	̑		\|c	\textroundcap		L
786	̒				M	
787	̓				M	
788	̔				M	
789	̕				M	
790	̖		\`	\textsubgrave		L
791	̗		\'	\textsubacute		L
792	̘	advanced tongue root	\|<	\textadvancing		L
793	̙	retracted tongue root	\|>	\textretracting		L
794	̚	not audibly released		\textcorner		L
795	̛				M	
796	̜	less rounded	\|(	\textsublhalfring		L
797	̝	raised	\|'	\textraising		L
798	̞	lowered	\|`	\textlowering		L
799	̟	advanced	\|+	\textsubplus		L
800	̠	retracted	\=*	\textsubbar		L
801	̡				?	L
802	̢				?	L
803	̣	*retroflex	\.*	\textsubdot		L
804	̤	breathy voiced	"\""*"			L
805	̥	voiceless	\r*			L
806	̦				M	
807	̧				M	
808	̨				M	
809	̩	syllabic	\s{}			L
810	̪	dental	\|[			L
811	̫	labialized	\|w	\textsubw	O	L
812	̬	voiced	\v*			L
813	̭		\^*	\textsubcircum		L
814	̮					L
815	̯	non-syllabic	\u*	\textsubarch		L
816	̰	creaky voiced	\~*			L
817	̱				M	
818	̲				M	
819	̳				?	
820	̴	velarized or pharyngealized	\|~	\textsuperimposetilde	?	L
821	̵				M	
822	̶				M	
823	̷				M	
824	̸				M	
825	̹	more rounded	\|)			L
826	̺	apical	\|]			L
827	̻	laminal		\textsubsquare		L
828	̼	linguolabial	\|m			L
829	̽	mid-centralized	\|x			L
830	̾					L
831	̿					L
832	̀					L
833	́					L
834	͂					L
835	̓					L
836	̈́					L
837	ͅ					L
838	͆			\overbridge		L
839	͇	*alveolar		\subdoublebar		L
840	͈	*strong articulation		\subdoublevert		L
841	͉	*weak articulation		\subcorner		L
842	͊	*denasal		\crtilde		L
843	͋	*nasal escape		\dottedtilde		L
844	͌	*velopharyngeal friction		\doubletilde		L
845	͍	*labial spreading		\spreadlips		L
846	͎	*whistled articulation		\whistle		L
847	͏				M	L
848	͐				M	L
849	͑		\|(	\textsublhalfring		L
850	͒				M	L
851	͓				M	L
852	͔	*right offset jaw voice		\sublptr		L
853	͕	*left offset jaw voice		\subrptr		L
854	͖				M	
855	͗				M	
856	͘				N	
857	͙				M	
858	͚				M	
859	͛				M	
860	͜	tie bar below	\t*			LR
861	͝				M	
862	͞				M	
863	͟				M	
864	͠				M	
865	͡	tie bar above	\t			LR
866	͢				M	
867	ͣ				M	
868	ͤ				M	
869	ͥ				M	
870	ͦ				M	
871	ͧ				M	
872	ͨ				M	
873	ͩ				M	
874	ͪ				M	
875	ͫ				M	
876	ͬ				M	
877	ͭ				M	
878	ͮ				M	
879	ͯ				M	
